#Cycle	-3	-2	-1	1	2	3
1	0	0	0	0	0	0
2	0	0	3.09264322030753e-06	0	0	0
3	0	6.18528644061507e-06	4.32970050843055e-05	2.78337889827678e-05	0	0
4	9.2779296609226e-06	1.85558593218452e-05	5.25749347452281e-05	5.25749347452281e-05	1.23705728812301e-05	0
5	9.2779296609226e-06	2.47411457624603e-05	4.32970050843055e-05	2.16485025421527e-05	1.85558593218452e-05	0
6	1.85558593218452e-05	2.47411457624603e-05	5.87602211858431e-05	2.16485025421527e-05	1.23705728812301e-05	0
7	9.2779296609226e-06	1.23705728812301e-05	5.25749347452281e-05	2.47411457624603e-05	2.47411457624603e-05	0
8	2.78337889827678e-05	3.09264322030753e-05	4.94822915249205e-05	1.85558593218452e-05	1.85558593218452e-05	9.2779296609226e-06
9	1.85558593218452e-05	1.23705728812301e-05	4.94822915249205e-05	4.32970050843055e-05	2.47411457624603e-05	1.85558593218452e-05
10	3.71117186436904e-05	3.71117186436904e-05	5.56675779655356e-05	1.85558593218452e-05	2.47411457624603e-05	1.85558593218452e-05
11	1.85558593218452e-05	2.47411457624603e-05	6.18528644061507e-05	1.85558593218452e-05	3.09264322030753e-05	2.78337889827678e-05
12	9.2779296609226e-06	3.71117186436904e-05	3.71117186436904e-05	2.78337889827678e-05	4.32970050843055e-05	9.2779296609226e-06
13	2.78337889827678e-05	5.56675779655356e-05	5.56675779655356e-05	2.47411457624603e-05	1.85558593218452e-05	0
14	1.85558593218452e-05	4.32970050843055e-05	4.6389648304613e-05	2.78337889827678e-05	4.94822915249205e-05	0
15	9.2779296609226e-06	6.18528644061507e-05	2.47411457624603e-05	3.09264322030753e-05	1.85558593218452e-05	0
16	9.2779296609226e-06	2.47411457624603e-05	4.32970050843055e-05	3.40190754233829e-05	6.18528644061507e-06	1.85558593218452e-05
17	0	3.09264322030753e-05	4.94822915249205e-05	4.32970050843055e-05	1.85558593218452e-05	9.2779296609226e-06
18	1.85558593218452e-05	4.32970050843055e-05	4.6389648304613e-05	3.40190754233829e-05	3.09264322030753e-05	3.71117186436904e-05
19	1.85558593218452e-05	4.32970050843055e-05	7.73160805076883e-05	3.71117186436904e-05	2.47411457624603e-05	4.6389648304613e-05
20	1.85558593218452e-05	1.85558593218452e-05	5.87602211858431e-05	3.40190754233829e-05	1.85558593218452e-05	9.2779296609226e-06
21	9.2779296609226e-06	4.94822915249205e-05	5.56675779655356e-05	4.02043618639979e-05	1.23705728812301e-05	9.2779296609226e-06
22	4.6389648304613e-05	4.94822915249205e-05	6.80381508467657e-05	3.71117186436904e-05	2.47411457624603e-05	1.85558593218452e-05
23	1.85558593218452e-05	6.80381508467657e-05	4.32970050843055e-05	2.16485025421527e-05	6.18528644061507e-06	2.78337889827678e-05
24	1.85558593218452e-05	8.04087237279958e-05	6.49455076264582e-05	4.32970050843055e-05	4.94822915249205e-05	1.85558593218452e-05
25	3.71117186436904e-05	3.09264322030753e-05	4.32970050843055e-05	3.09264322030753e-05	4.94822915249205e-05	9.2779296609226e-06
26	1.85558593218452e-05	4.32970050843055e-05	4.94822915249205e-05	3.40190754233829e-05	3.71117186436904e-05	0
27	9.2779296609226e-06	5.56675779655356e-05	7.42234372873808e-05	5.25749347452281e-05	4.94822915249205e-05	3.71117186436904e-05
28	2.78337889827678e-05	4.32970050843055e-05	5.56675779655356e-05	4.32970050843055e-05	1.85558593218452e-05	1.85558593218452e-05
